first,last,randnumber_day7,randnumber_day8
A,C,87,3.11
P,R,56,60
K,Y,99.9,3.18
M,N,2,2.2
P,S,62,4
J,M,78,-67.348
B,C,3,-65
R,Z,27,48
W,T,99,50
D,W,12,500
K,J,72,64
P,S,3.14,-47.94
C,H,,17
J,C,7,9999999
H,J,0.01,22
C,G,,46
T,Y,11,-999.999
J,V,62,16
A,S,45,33
T,N,72,89
E,O,21,61
L,Z,17,10
M,G,68,-50
J,S,2,2
L,S,12,1
Q,H,23,-10
J,H,99,1
S,W,19,81
M,G,72,2
S,S,47.389,88
S,A,30,45
K,C,100,99
A,N,73,8
M,W,19,65
A,W,30,3
InstructorFirst,InstructorLast,,457
AssistantAFirst,AssistantALast,,777
AssistantBFirst,AssistantBLast,,420
AssistantCFirst,AssistantCLast,,0.00001
AssistantDFirst,AssistantDLast,,654